,aklo,epoodle,e-tie,gl!tch,daniel,freezus,tito jojo,tazio,k8a,just jason,fitzy,cannagar,danilo calamari,luu,abe,bonn,pgh fahey,da gobbler,tranimal,snoo,bambz,bigbuffalo,hatsune mitski,willy p,jango uu,kdog,wrap,kingnut,mudjam,moburu
snoo,0 - 1,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 1,0 - 0,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0
bambz,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 1,0 - 0,0 - 2,0 - 1,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0
bigbuffalo,0 - 1,0 - 1,0 - 1,0 - 2,0 - 0,0 - 2,0 - 0,0 - 1,0 - 1,2 - 2,0 - 0,0 - 0,0 - 1,2 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 0,1 - 0,1 - 1,0 - 0,0 - 0
hatsune mitski,0 - 0,0 - 0,0 - 0,1 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,1 - 1,0 - 0,0 - 0,0 - 1,0 - 1,1 - 0,1 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,1 - 0,0 - 0,0 - 0,0 - 1
willy p,0 - 1,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 2,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0
jango uu,0 - 1,0 - 1,0 - 0,0 - 0,0 - 2,1 - 1,0 - 0,0 - 4,0 - 1,0 - 2,0 - 2,0 - 0,0 - 1,2 - 5,0 - 2,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 1,3 - 0,2 - 1,0 - 0,0 - 0
kdog,0 - 1,0 - 1,0 - 0,0 - 1,0 - 0,0 - 1,0 - 0,0 - 1,0 - 2,0 - 1,0 - 1,0 - 1,0 - 1,1 - 1,2 - 3,0 - 0,1 - 0,2 - 1,0 - 1,0 - 1,0 - 0,0 - 2,0 - 0,0 - 0,1 - 1,0 - 0,1 - 0,1 - 0,0 - 0,0 - 1
wrap,0 - 0,0 - 0,0 - 1,0 - 2,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 3,0 - 0,0 - 0,1 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,0 - 1,0 - 3,0 - 1,0 - 0,2 - 0,1 - 0,0 - 0
kingnut,0 - 2,0 - 0,0 - 0,0 - 3,0 - 0,0 - 1,0 - 0,0 - 3,0 - 3,0 - 0,0 - 1,0 - 1,0 - 1,0 - 1,1 - 2,0 - 1,0 - 1,1 - 2,0 - 0,0 - 1,0 - 0,1 - 1,0 - 0,1 - 0,1 - 2,0 - 1,0 - 2,0 - 0,0 - 0,1 - 0
mudjam,0 - 0,0 - 0,0 - 1,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 2,0 - 0,0 - 0,0 - 0,0 - 1,0 - 2,0 - 1,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 0,0 - 0,0 - 0
moburu,0 - 1,0 - 0,0 - 1,0 - 1,0 - 1,0 - 0,0 - 0,0 - 1,0 - 3,0 - 0,0 - 0,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 0,1 - 4,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 1,0 - 0,0 - 0
